No,Komentar,Sumber,Pakar 1,Pakar 2,Pakar 3,Pakar 4,Positif,Negatif,Hasil Akhir
144,"sesuai dengan harganya, sangat memuaskan. pertahankan pelayanannya di segala bagian. MANTAP",Facebook,Positif,Positif,Positif,Positif,4,0,Positif
149,"Terimakasih untuk manajemen MRT, kemarin termos kesayangan Saya ketinggalan di toilet MRT Dukuh Atas ..... 2 jam kemudian Saya cari.... tanya ke security, ternyata masih ada ",Twitter,Positif,Positif,Positif,Positif,4,0,Positif
152,Seneng aku ada MRT. Jadi makin cepet sampe kantor dan balim kerumah. Masukan aja untuk mesing single trip nya mohon di banahi. Agar berfungsi dengan baik.,Twitter,Positif,Positif,Positif,Positif,4,0,Positif
155,MRT Jakarta terlalu bersih????,Instagram,Positif,Positif,Positif,Positif,4,0,Positif
160,"MaasyaAllah keren banget program nya. Baca lagi, baca dulu, dan baca terus! Keren MRT!?",Instagram,Positif,Positif,Positif,Positif,4,0,Positif
161,MRT keren nih idenya…,Instagram,Positif,Positif,Positif,Positif,4,0,Positif
162,Kagum pada MRT…,Instagram,Positif,Positif,Positif,Positif,4,0,Positif
163,"tadi pp naik mrt , masih aja bangga ya hihi....agak norak nih naik mrt di negara sendiri, lalu teman lanjut nyambung busway , bus nya dah keren asyik…",Instagram,Positif,Positif,Positif,Positif,4,0,Positif
164,Senang dgn mrt jkt..dingin dan suara kereta yg halus,Instagram,Positif,Positif,Positif,Positif,4,0,Positif
166,"Ada hal yang aku suka dari MRT, yaitu ketika naik kereta MRT berdiri. Meski dengan posisi berdiri dan tanpa berpegangan, getaran dan guncangan saat kereta melaju itu hampir gak terasa, akselerasi dan pengeremannya pun juga halus, jadi gak khawatir tiba2 terpental. Kalau menilik teknologi infrastrukturnya sendiri udah sejajar sama Kereta HSR Shinkansen yang Bantalan Rel-nya pakai cor beton / Slab Track, jadi lebih rata dan sejajar. Kata bos aku, MRT bikin ketagihan pengen naik terus... ??",Instagram,Positif,Positif,Positif,Positif,4,0,Positif
167,"Tadinya gw bawa motor, atau kadang mbl. Tp sejak ada MRT dan untungnya kantor gw bisa diakses MRT. Gw jd sering naik MRT, dan Transjakarta. Kadang juga bawa sepeda, nyaman bgt bawa sepeda ke MRT.",Instagram,Positif,Positif,Positif,Positif,4,0,Positif
168,"Gara2 ketagihan naik MRT, jadi mikir pengen move on ke daerah sekitaran cipete, biar tiap hari kalo berangkat dan pulang kerja naik MRT terus ??",Instagram,Positif,Positif,Positif,Positif,4,0,Positif
230,"@mrtjakarta pagi, tolong di benerin yaa, dukuh atas BNI arah... Thx",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
232,"Halo @mrtjakarta mohon penjelasannya!  Emoney saya dianggap tdk tap keluar dr st istora tgl 27 sep, pdhl saya tap di gate dan bs keluar dr stasiun. Trs dikenakan cas 14rb.  Ini bukan kesalahan saya, tp sistem gate mrt, harusnya saya tdk disuruh bayar.  Thx.",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
233,"Emg mesin tap mrt jakarta bapuk bgt, udahlah bacanya lama, bikin ngantri sering error pula ??",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
235,@mrtjakarta station setia budi astra AC mati dan panas infonya dari jam 14.00 sampai sekarang belum ada perubahan,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
237,Barusan di stasiun @mrtjakarta Bundaran HI ada X-ray scanning terus gunting w diambil. Katanya gunting ga boleh masuk ke MRT. Trus w mikir ... gimana nasib orang commuting buat kerja yang mesti bawa gunting tiap hari? Apa MRT buat yang kerjanya bawa laptop dan buku doang?,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
238,"Hallo @mrtjakarta sekedar masukan untuk petugas gate masuk jgn asal main buka resleting tas orang yaa..harusnya mereka minta permisi or at least biar penumpang yg buka sendiri di depan petugas.When I travel overseas, petugas di public area sll bilang please open before do that",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
239,Ini perasaan saya aja atau emang stasiun MRT Setia Budi AC nya g Nyala? @mrtjakarta,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
241,Dear @mrtjakarta @DKIJakarta ini menghambat akses masuk ke stasiun ???? lokasi akses pintu masuk - keluar arah Transit Parkir dan Akses : ke TransJakarta,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
248,Usul harga tiket MRT Jakarta dinaikkan tapi sebagai gantinya keretanya diperbanyak. Jadi pengguna mobil dan motor mau beralih. Bila pengguna mobil tidak beralih ke MRT sama saja tetap macet.,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
251,"Trotoar dari Park & Ride dikasih atap juga dong kalo bisa. Hujan gmn tuh tar? Jangan yg dari poins square aja yg dikasih atap. Jauh loh itu, 500m ada kali.",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
252,"gak usah dihimbau-himbau, kalau memang ada aturannya dilarang dan didenda aja. penegakan peraturan harus pakai bahasa yg tegas. bahasa yg lembek sama juga artinya lembek dalam penegakan peraturan.",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
256,"Sistem yg sangat aneh. Masak turun dr halte busway HI, lanjut MRT kartu flazz nya gak bisa dipake di MRT dgn alasan yg sama. Pdhal kan pas mau msk sta MRT nya itu kita nge-tap keluar dr halte busway hitungannya. Ttp aja dianggap sdh nge-tap di stasiun yg sama. Fix this please!",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
