No,Komentar,Sumber,Pakar 1,Pakar 2,Pakar 3,Pakar 4,Positif,Negatif,Hasil Akhir
141,MRT..transportasi yg nyaman.bersih.pelayannya ramah.dan murah.,Facebook,Positif,Positif,Positif,Positif,4,0,Positif
142,"tetap selalu terjaga ke bersihan ny..... selain itu MRT emng benar""cepat laju ny.",Facebook,Positif,Positif,Positif,Positif,4,0,Positif
143,Aman nyaman tepat waktu dan menarik banyak aktifitas musik dsb,Facebook,Positif,Positif,Positif,Positif,4,0,Positif
144,"sesuai dengan harganya, sangat memuaskan. pertahankan pelayanannya di segala bagian. MANTAP",Facebook,Positif,Positif,Positif,Positif,4,0,Positif
149,"Terimakasih untuk manajemen MRT, kemarin termos kesayangan Saya ketinggalan di toilet MRT Dukuh Atas ..... 2 jam kemudian Saya cari.... tanya ke security, ternyata masih ada ",Twitter,Positif,Positif,Positif,Positif,4,0,Positif
152,Seneng aku ada MRT. Jadi makin cepet sampe kantor dan balim kerumah. Masukan aja untuk mesing single trip nya mohon di banahi. Agar berfungsi dengan baik.,Twitter,Positif,Positif,Positif,Positif,4,0,Positif
155,MRT Jakarta terlalu bersih????,Instagram,Positif,Positif,Positif,Positif,4,0,Positif
160,"MaasyaAllah keren banget program nya. Baca lagi, baca dulu, dan baca terus! Keren MRT!?",Instagram,Positif,Positif,Positif,Positif,4,0,Positif
161,MRT keren nih idenya…,Instagram,Positif,Positif,Positif,Positif,4,0,Positif
162,Kagum pada MRT…,Instagram,Positif,Positif,Positif,Positif,4,0,Positif
163,"tadi pp naik mrt , masih aja bangga ya hihi....agak norak nih naik mrt di negara sendiri, lalu teman lanjut nyambung busway , bus nya dah keren asyik…",Instagram,Positif,Positif,Positif,Positif,4,0,Positif
164,Senang dgn mrt jkt..dingin dan suara kereta yg halus,Instagram,Positif,Positif,Positif,Positif,4,0,Positif
220,"Tolong di kasih nomor pengaduan ke satpol PP di pasang di papan informasi biar masyarakat yg menemukan pelanggaran agara segera menghubungi satpol PP, atau polisi.",Facebook,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
227,"Halo BISA GAK SIH? Kalau bikin announcement itu yg simpel2 aja gitu, gak usah bertele2 pakai kalimat ""Kami Himbau"" melulu tiap stasiun? Kayanya makin banyak aja pengumuman begitu, BERISIK TAU GAK!! Bikin pengen tutup kuping pake headset.",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
228,Min mohon perbaikannya di stasiun mrt cipete Udah berhari2,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
230,"@mrtjakarta pagi, tolong di benerin yaa, dukuh atas BNI arah... Thx",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
232,"Halo @mrtjakarta mohon penjelasannya!  Emoney saya dianggap tdk tap keluar dr st istora tgl 27 sep, pdhl saya tap di gate dan bs keluar dr stasiun. Trs dikenakan cas 14rb.  Ini bukan kesalahan saya, tp sistem gate mrt, harusnya saya tdk disuruh bayar.  Thx.",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
233,"Emg mesin tap mrt jakarta bapuk bgt, udahlah bacanya lama, bikin ngantri sering error pula ??",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
235,@mrtjakarta station setia budi astra AC mati dan panas infonya dari jam 14.00 sampai sekarang belum ada perubahan,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
237,Barusan di stasiun @mrtjakarta Bundaran HI ada X-ray scanning terus gunting w diambil. Katanya gunting ga boleh masuk ke MRT. Trus w mikir ... gimana nasib orang commuting buat kerja yang mesti bawa gunting tiap hari? Apa MRT buat yang kerjanya bawa laptop dan buku doang?,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
238,"Hallo @mrtjakarta sekedar masukan untuk petugas gate masuk jgn asal main buka resleting tas orang yaa..harusnya mereka minta permisi or at least biar penumpang yg buka sendiri di depan petugas.When I travel overseas, petugas di public area sll bilang please open before do that",Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
239,Ini perasaan saya aja atau emang stasiun MRT Setia Budi AC nya g Nyala? @mrtjakarta,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
241,Dear @mrtjakarta @DKIJakarta ini menghambat akses masuk ke stasiun ???? lokasi akses pintu masuk - keluar arah Transit Parkir dan Akses : ke TransJakarta,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
248,Usul harga tiket MRT Jakarta dinaikkan tapi sebagai gantinya keretanya diperbanyak. Jadi pengguna mobil dan motor mau beralih. Bila pengguna mobil tidak beralih ke MRT sama saja tetap macet.,Twitter,Negatif,Negatif,Negatif,Negatif,0,4,Negatif
